ts_code,symbol,name,industry,list_date
600567.SH,600567,山鹰国际,造纸,20011218
600568.SH,600568,ST中珠,医疗保健,20010518
600569.SH,600569,安阳钢铁,普钢,20010820
600570.SH,600570,恒生电子,软件服务,20031216
600571.SH,600571,信雅达,软件服务,20021101
600572.SH,600572,康恩贝,中成药,20040412
600573.SH,600573,惠泉啤酒,啤酒,20030226
600575.SH,600575,淮河能源,火力发电,20030328
600576.SH,600576,祥源文旅,旅游景点,20030220
600577.SH,600577,精达股份,电气设备,20020911
600578.SH,600578,京能电力,火力发电,20020510
600579.SH,600579,中化装备,化工机械,20020809
600580.SH,600580,卧龙电驱,电气设备,20020606
600581.SH,600581,八一钢铁,普钢,20020816
600582.SH,600582,天地科技,专用机械,20020515
600583.SH,600583,海油工程,石油开采,20020205
600584.SH,600584,长电科技,半导体,20030603
600585.SH,600585,海螺水泥,水泥,20020207
600586.SH,600586,金晶科技,玻璃,20020815
600587.SH,600587,新华医疗,医疗保健,20020927
600588.SH,600588,用友网络,软件服务,20010518
600589.SH,600589,大位科技,软件服务,20010612
600590.SH,600590,泰豪科技,通信设备,20020703
600592.SH,600592,龙溪股份,机械基件,20020805
600593.SH,600593,大连圣亚,旅游景点,20020711
600594.SH,600594,益佰制药,中成药,20040323
600595.SH,600595,中孚实业,铝,20020626
600596.SH,600596,新安股份,化工原料,20010906
600597.SH,600597,光明乳业,乳制品,20020828
600598.SH,600598,北大荒,种植业,20020329
600599.SH,600599,*ST熊猫,化工原料,20010828
600600.SH,600600,青岛啤酒,啤酒,19930827
600601.SH,600601,方正科技,元器件,19901219
600602.SH,600602,云赛智联,软件服务,19901219
600603.SH,600603,广汇物流,区域地产,19920113
600604.SH,600604,市北高新,园区开发,19920327
600605.SH,600605,汇通能源,房产服务,19920327
600606.SH,600606,绿地控股,全国地产,19920327
600608.SH,600608,*ST沪科,商贸代理,19920327
600609.SH,600609,金杯汽车,汽车配件,19920724
600610.SH,600610,中毅达,化工原料,19920805
600611.SH,600611,大众交通,公共交通,19920807
600612.SH,600612,老凤祥,服饰,19920814
600613.SH,600613,神奇制药,中成药,19920820
600615.SH,600615,鑫源智造,铝,19920910
600616.SH,600616,金枫酒业,红黄酒,19920929
600617.SH,600617,国新能源,供气供热,19921013
600618.SH,600618,氯碱化工,化工原料,19921113
600619.SH,600619,海立股份,家用电器,19921116
600620.SH,600620,天宸股份,综合类,19921117
600621.SH,600621,华鑫股份,证券,19921202
600622.SH,600622,光大嘉宝,区域地产,19921203
600623.SH,600623,华谊集团,化工原料,19921204
600624.SH,600624,ST复华,化学制药,19930105
600626.SH,600626,申达股份,汽车配件,19930107
600628.SH,600628,新世界,百货,19930119
600629.SH,600629,华建集团,建筑工程,19930209
600630.SH,600630,龙头股份,服饰,19930209
600633.SH,600633,浙数文化,互联网,19930304
600635.SH,600635,大众公用,供气供热,19930304
600636.SH,600636,*ST国化,文教休闲,19930316
600637.SH,600637,东方明珠,影视音像,19930316
600638.SH,600638,新黄浦,区域地产,19930326
600639.SH,600639,浦东金桥,园区开发,19930326
600640.SH,600640,国脉文化,影视音像,19930407
600641.SH,600641,先导基电,半导体,19930407
600642.SH,600642,申能股份,火力发电,19930416
600643.SH,600643,爱建集团,多元金融,19930426
600644.SH,600644,乐山电力,水力发电,19930426
600645.SH,600645,中源协和,医疗保健,19930504
600648.SH,600648,外高桥,园区开发,19930504
600649.SH,600649,城投控股,区域地产,19930518
600650.SH,600650,锦江在线,公共交通,19930607
600651.SH,600651,飞乐音响,电器仪表,19901219
600653.SH,600653,申华控股,汽车服务,19901219
600654.SH,600654,中安科,仓储物流,19901219
